,,1,1.1,1.2,1.3,1.4,1.5,1.75,2,alpha_y
0,negative,0.032,0.037,0.043,0.047,0.051,0.053,0.06,0.065,0.032
1,positive,0.024,0.028,0.032,0.036,0.039,0.041,0.045,0.049,0.024
2,negative,0.037,0.043,0.048,0.051,0.055,0.057,0.064,0.068,0.037
3,positive,0.028,0.032,0.036,0.039,0.041,0.044,0.048,0.052,0.028
4,negative,0.037,0.044,0.052,0.057,0.063,0.067,0.077,0.085,0.037
5,positive,0.028,0.033,0.039,0.044,0.047,0.051,0.059,0.065,0.028
6,negative,0.047,0.053,0.06,0.065,0.071,0.075,0.084,0.091,0.047
7,positive,0.035,0.04,0.045,0.049,0.053,0.056,0.063,0.069,0.035
8,negative,0.045,0.049,0.052,0.056,0.059,0.06,0.065,0.069,0.00001
9,positive,0.035,0.037,0.04,0.043,0.044,0.045,0.049,0.052,0.035
10,negative,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.045
11,positive,0.035,0.043,0.051,0.057,0.063,0.068,0.08,0.088,0.035
12,negative,0.057,0.064,0.071,0.076,0.08,0.084,0.091,0.097,0.00001
13,positive,0.043,0.048,0.053,0.057,0.06,0.064,0.069,0.073,0.043
14,negative,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.057
15,positive,0.043,0.051,0.059,0.065,0.071,0.076,0.087,0.096,0.043
16,negative,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
17,positive,0.056,0.064,0.072,0.079,0.085,0.089,0.1,0.107,0.056
